,tweet_id,user_id,location_id,created_at,language,source,tweet_mentions,reply_settings,possibly_sensitive,like_count,retweet_count,quote_count,reply_count,text,country,place_type,location_geo,longitude,latitude
2,954638973124644864,892388577732173824,cbccad0db97a1fff,2018-01-20 08:57:22+00:00,nl,No source,No mention,everyone,False,1,0,0,0,Je moet het maar naar jouw zin kunnen  draaien! Droevig! https://t.co/0wcn14dxl8,Belgique,city,Kapellen,51.328623750000006,4.45498255
5,951396047548485632,394657529,2a8a74486cd0d519,2018-01-11 10:11:08+00:00,nl,No source,No mention,everyone,False,28,1,0,1,"Verdomme. Zo een mooie vrouw, zo een groot hart. Zo een droevig nieuws. Ongelofelijk veel troost en liefde aan haar familie en nabestaanden.

Rust zacht Lies. https://t.co/pjlsngNhkT",Belgique,city,Anvers,51.2605565,4.35819025
6,951200299624124417,4398951,2a8a74486cd0d519,2018-01-10 21:13:18+00:00,nl,No source,Telenet,everyone,False,0,0,0,1,Ik bel terug na de verbroken verbinding met @Telenet en de operator zegt 'ik heb wel niet veel tijd. Zegt u maar snel uw gsm nummer...' het is iets voor 22u... Droevig part 3,Belgique,city,Anvers,51.2605565,4.35819025
14,979682660078575616,618158126,0a25d830ec1e8339,2018-03-30 11:32:02+00:00,nl,No source,AfshinEllian1,everyone,False,0,0,0,0,@AfshinEllian1 @Else4Weekblad Dank u wel voor uw duidelijke uitleg. Het maakt mij echter droevig en somber over de toekomst van ons land👎😢,Belgique,city,Schilde,51.257782250000005,4.58132635
16,978431295436066816,880511597176918016,2a8a74486cd0d519,2018-03-27 00:39:33+00:00,nl,No source,"armyxculture,BTS_twt,BTS_twt",everyone,False,3,2,0,1,"@armyxculture @BTS_twt BTS is mijn bron van geluk. Als ik me droevig voel, kan al een glimlach van hen mij opvrolijken. Ik kan mij geen leven zonder hun voorstellen. Ik zal altijd van hen houden💜 (Dutch)

@BTS_twt 
#ArmyLanguagesDay 
#THOSFansBTS27M",Belgique,city,Anvers,51.2605565,4.35819025
20,972864831152885760,424485767,0a25d830ec1e8339,2018-03-11 16:00:25+00:00,nl,No source,"sporza,kvmechelen",everyone,False,0,0,0,0,@sporza @kvmechelen Respect en dit moeten we missen volgend seizoen bijzonder droevig #komtsnelterug KV !,Belgique,city,Schilde,51.257782250000005,4.58132635
21,989506220112441344,3123366100,8a365853e0cda9b4,2018-04-26 14:07:21+00:00,nl,No source,"de_NVA,villapolitica,MeyremAlmaci,groen",everyone,False,4,0,1,0,Wie zojuist @de_NVA parlementslid Van Vaerenbergh bezig hoorde bij @villapolitica kan toch niet anders dan van plaatsvervangende schaamte wegkruipen?  DROEVIG! Sterke @MeyremAlmaci van @groen,Belgique,city,Aartselaar,51.13038055,4.381335549999999
22,988850338466881536,781533162103078912,50a87753238ec07f,2018-04-24 18:41:07+00:00,nl,No source,Snipercycling,everyone,False,1,0,0,0,@Snipercycling Het afscheid was droevig maar mooi .Ik ben Michael een goede reis komen wensen in Hallaar. Sterkte aan iedereen en bedankt voor het mooie prentje als eeuwig aandenken 🚴,Belgique,city,Herentals,51.15946015,4.82910865
24,984006452514836480,459412856,e9347d8254723781,2018-04-11 09:53:14+00:00,nl,No source,sporza,everyone,False,0,0,0,0,@sporza Zo’n foute berichtgeving is echt droevig. We hebben nog maar 2 keer tegen stamnummer 155 gespeeld.,Belgique,city,Geel,51.1658325,4.98608555
28,981071180802207744,733666702098092032,1e35b5b987da70cf,2018-04-03 07:29:31+00:00,nl,No source,"GeertNoels,PieterVBO",everyone,False,0,0,0,0,"@GeertNoels @PieterVBO Inderdaad heel droevig, ook wel jammer dat jongeren niet deelnemen aan twitter.",Belgique,city,Zwijndrecht,51.223332049999996,4.3237290999999995
29,980478969471557633,975885356,cbccad0db97a1fff,2018-04-01 16:16:17+00:00,nl,No source,FKeuleneer,everyone,False,0,0,0,2,@FKeuleneer Volgens Fernand  Ceuleneer mag je dus in functie van de Geopolitiek gelijk welke atrociteit als normaal beschouwen! Droevig!! 😈 😈,Belgique,city,Kapellen,51.328623750000006,4.45498255
30,999972210361106432,230857049,4c735a49b5ce2747,2018-05-25 11:15:28+00:00,nl,No source,"PierreHellebaut,RuttenGwendolyn,Barttommelein",everyone,False,0,0,0,1,"@PierreHellebaut @RuttenGwendolyn @Barttommelein Ik vraag mij af wat ons droevig lot was geweest vandaag, als druiloren, jankers en zelfkastijders zoals U + de (zichzelf moreel verheerlijkende) linkse reutemeteut de 2de WO/Hitler het hoofd hadden moeten bieden, i.p.v. Churchill en Truman...??",Belgique,city,Edegem,51.1587375,4.43044555
31,998296183452860416,778983308390703104,d4981b9e9f0695b5,2018-05-20 20:15:32+00:00,nl,No source,siskavpt,everyone,False,8,0,0,1,"@Boerburgertweet @siskavpt Een eer om je te mogen volgen ! Tweets om over na te denken en in het achterhoofd te houden ... soms herkenbaar en confronterend, soms droevig maar steeds ijzersterk treffend en warm 🌻 Bedankt !",Belgique,city,Hoogstraten,51.440363500000004,4.7586089000000005
41,1022790751036604416,433357226,cc3625d1c7796fb0,2018-07-27 10:28:12+00:00,nl,No source,No mention,everyone,False,7,0,0,0,"Vriendin wilt graag katten.
Ik waarschuw vriendin, katten versus planten.
Katten vermoorden vriendin’s favoriete plant.
Vriendin droevig.
Een gewaarschuwde vrouw is er 2 waard? 🤷🏼‍♂️😅 https://t.co/Gf2EHTFxqS",Belgique,city,Schoten,51.2700051,4.5041295
46,1030133974834839552,1219125632,2a8a74486cd0d519,2018-08-16 16:47:33+00:00,nl,No source,No mention,everyone,False,0,0,0,0,heel droevig nieuw over #HaoHao in #PairiDaiza https://t.co/7AS2o7L2H7,Belgique,city,Anvers,51.2605565,4.35819025
47,1028560422188802048,2776622874,2a8a74486cd0d519,2018-08-12 08:34:49+00:00,nl,No source,No mention,everyone,False,1,0,0,0,Dat is droevig misbruik van een godsdienst. Geen enkele God vindt mensen ongelijkwaardig. https://t.co/FtuhLxHKJe,Belgique,city,Anvers,51.2605565,4.35819025
49,1026767338035716096,237332694,2a8a74486cd0d519,2018-08-07 09:49:44+00:00,nl,No source,No mention,everyone,False,23,3,1,1,"Niet zo droevig, std’s houden je warm in de winter 🤗 https://t.co/7z4ARqiEng",Belgique,city,Anvers,51.2605565,4.35819025
50,1026441454888136709,54662957,2a8a74486cd0d519,2018-08-06 12:14:47+00:00,nl,No source,Bilabietje,everyone,False,1,0,0,1,@Bilabietje Boos? Mij lijkt hij eerder droevig...,Belgique,city,Anvers,51.2605565,4.35819025
55,1040129170540515328,3455889281,50a87753238ec07f,2018-09-13 06:44:53+00:00,nl,No source,sporza_koers,everyone,False,0,0,0,0,@sporza_koers Droevig 🙏,Belgique,city,Herentals,51.15946015,4.82910865
59,1051572513325678593,513096870,d68d5648abfc3294,2018-10-14 20:36:39+00:00,nl,No source,"Du__Bois,WouterVanBesien,de_NVA,vlbelang",everyone,False,0,0,0,0,"@Du__Bois @WouterVanBesien @de_NVA Wat een droevig, gefrustreerd en tragisch antwoord. Ik heb geen affiniteit met het @vlbelang noch met uw manier van denken en reageren.",Belgique,city,Willebroek,51.0505103,4.37433635
64,1078221892874588161,892388577732173824,cbccad0db97a1fff,2018-12-27 09:31:46+00:00,nl,No source,No mention,everyone,False,0,0,0,0,Heel droevig maar vooral erg opstandig! https://t.co/p1os3mLV9Z,Belgique,city,Kapellen,51.328623750000006,4.45498255
65,1077892182021935105,108047571,03c6dc32cfade603,2018-12-26 11:41:37+00:00,nl,No source,rechterzijde,everyone,False,0,0,0,0,@rechterzijde Echt onzin. Ik zie vrijwel alleen positieve. Kennelijk móet het altijd negatief zijn. Daar word ik nou droevig van!,Belgique,city,Kalmthout,51.4031672,4.45964525
68,1074350778670899200,339629698,ad0818e2fb208dde,2018-12-16 17:09:20+00:00,nl,No source,OlivierCaluwe,everyone,False,0,0,0,0,@OlivierCaluwe Droevig 🙄😒,Belgique,city,Brasschaat,51.3100078,4.49961725
69,1073654603365974018,2194922174,2a8a74486cd0d519,2018-12-14 19:02:59+00:00,nl,No source,No mention,everyone,False,1,0,0,0,"Vandaag zei Aron ineens uit het niets: 
'Jovana, weet je waarom jij bent leuk? Altijd wanneer ik ben slecht of ik ben droevig, ben jij gek doen en breng jij leven overal. Jij bent enige persoon die iedereen kan blij maken, omdat jij bent, wie jij ben...
Éne zonnetje.' https://t.co/S0eStytf19",Belgique,city,Anvers,51.2605565,4.35819025
71,1071662386963251200,311356418,326027bf66fff962,2018-12-09 07:06:38+00:00,nl,No source,CharlesMichel,everyone,False,6,1,0,0,@CharlesMichel U denkt dus niet aan onze kinderen. U bent dus niet meer mijn eerste minister. Droevig landje.,Belgique,city,Kasterlee,51.2408069,4.9468399000000005
