,tweet_id,user_id,location_id,created_at,language,source,tweet_mentions,reply_settings,possibly_sensitive,like_count,retweet_count,quote_count,reply_count,text,country,place_type,location_geo,longitude,latitude
0,957301862734221315,254458099,1e35b5b987da70cf,2018-01-27 17:18:44+00:00,nl,No source,No mention,everyone,False,30,0,0,0,Was me een eenzaam matchke https://t.co/HGmwJTvuY2,Belgique,city,Zwijndrecht,51.223332049999996,4.3237290999999995
6,949977734708678656,2426920121,52e0f89ce306d8eb,2018-01-07 12:15:16+00:00,nl,No source,No mention,everyone,False,1,0,0,0,Niets belet Belet om zelf ontslag te nemen! Dat zou een verrijking en een opluchting en een besparing zijn. Om niet eenzaam te zijn kan Belet samen met de fameuze Marianne Thyssen ontslag nemen. Een minnaar en een minnares van EU- en Spaanse dictatuur! https://t.co/9bwNKD7RbV,Belgique,city,Turnhout,51.32898145,4.93672415
9,966624851141292032,84108708,2a8a74486cd0d519,2018-02-22 10:44:58+00:00,nl,No source,"Yoeridesloovere,ECardinael,openVRT,hellosayscaro",everyone,False,1,0,0,1,"@Yoeridesloovere @ECardinael @openVRT @hellosayscaro Yes, inderdaad nog op zoek naar een eenzaam ticket  😜",Belgique,city,Anvers,51.2605565,4.35819025
10,966041155233296384,4571945241,0a25d830ec1e8339,2018-02-20 20:05:34+00:00,nl,No source,No mention,everyone,False,1,0,0,0,Eenzaam en ongelukkig,Belgique,city,Schilde,51.257782250000005,4.58132635
12,965273269103362049,617105600,6d6198a460e4073a,2018-02-18 17:14:15+00:00,nl,No source,No mention,everyone,False,1,0,0,0,"Ik weet ni of ik al klaar ben voor iets nieuws, maar wat ik wel weet is dat dagen soms eenzaam kunnen zijn",Belgique,city,Malines,51.0348807,4.45953225
18,973313300627935233,705149122110738434,6d6198a460e4073a,2018-03-12 21:42:28+00:00,nl,No source,No mention,everyone,False,4,4,0,0,hoooooooo ik ben zo eenzaam,Belgique,city,Malines,51.0348807,4.45953225
31,997954325082238977,727519459133513729,2a8a74486cd0d519,2018-05-19 21:37:06+00:00,nl,No source,ewveh,everyone,False,1,0,0,1,"@ewveh Zijn drie cheeseburgers niet genoeg? En ja, volgende keer niet zo eenzaam",Belgique,city,Anvers,51.2605565,4.35819025
34,996252842242527232,1034839394,8a365853e0cda9b4,2018-05-15 04:56:01+00:00,nl,No source,No mention,everyone,False,0,0,0,0,"Het is soms eenzaam vertoeven als werkbroek, onder de slimmeriken op Twitter. Ben dan wel zo slim om me daar gene ene moer van aan te trekken. #slimloemp",Belgique,city,Aartselaar,51.13038055,4.381335549999999
35,995597873701060609,1002513002,2a8a74486cd0d519,2018-05-13 09:33:25+00:00,nl,No source,No mention,everyone,False,22,3,0,0,Ge weet hoe eenzaam ge bent als ge al 2 dagen elke instagramstory hebt bekeken,Belgique,city,Anvers,51.2605565,4.35819025
38,992368201634926592,778983308390703104,d4981b9e9f0695b5,2018-05-04 11:39:51+00:00,nl,No source,ronschalk,everyone,False,1,0,0,0,@ronschalk Er mag ook wel wat pit in zitten 🎶 ik ben zo eenzaam zonder jouw 🎶 https://t.co/x1ZXv5WMJZ,Belgique,city,Hoogstraten,51.440363500000004,4.7586089000000005
39,1011747262643531776,3317011955,2a8a74486cd0d519,2018-06-26 23:05:19+00:00,nl,No source,No mention,everyone,False,6,0,0,1,"Orry zit in schilde en ik heb mij nog nooit zo eenzaam gevoeld int stad, Kzen bang https://t.co/fv7e72DJN4",Belgique,city,Anvers,51.2605565,4.35819025
42,1006588691052154880,733666702098092032,2a8a74486cd0d519,2018-06-12 17:27:00+00:00,nl,No source,"gretav5,torfsrik",everyone,False,1,0,0,1,@gretav5 @torfsrik Die moet zich wel heel eenzaam voelen 😉,Belgique,city,Anvers,51.2605565,4.35819025
51,1018024792912547840,2394221167,2a8a74486cd0d519,2018-07-14 06:49:59+00:00,nl,No source,Confucius123,everyone,False,0,0,0,0,@Confucius123 Ik denk dat Rooze zich ooit nog eenzaam gaat voelen na zijn islam debacle! #zielig,Belgique,city,Anvers,51.2605565,4.35819025
52,1016844485874069504,548591530,d4981b9e9f0695b5,2018-07-11 00:39:52+00:00,nl,No source,No mention,everyone,False,1,0,0,0,Altijd als ik gedronken heb voel ik me eenzaam en wil ik een vriendje lol,Belgique,city,Hoogstraten,51.440363500000004,4.7586089000000005
59,1013483593073557506,2354438187,2a8a74486cd0d519,2018-07-01 18:04:52+00:00,nl,No source,No mention,everyone,False,4,0,0,3,"Ik dacht dat ik morgen pas in een zwart gat zou vallen, but here it is. Een heel weekend omringd geweest met enorm veel vrienden. Nu all by myself en enorm ongelukkig en eenzaam. 💔",Belgique,city,Anvers,51.2605565,4.35819025
63,1028602733094465536,2776622874,2a8a74486cd0d519,2018-08-12 11:22:56+00:00,nl,No source,Chris10vdb,everyone,False,2,0,0,0,"@chris10vdb @KarinVanRoyen Leeg, arm, eenzaam.",Belgique,city,Anvers,51.2605565,4.35819025
73,1054001246934315010,548591530,2a8a74486cd0d519,2018-10-21 13:27:34+00:00,nl,No source,No mention,everyone,False,1,0,0,0,"Mijn ouders zijn echt te cute, zien jullie die legit ff een konijn kopen omdat ik zei dat ik me vaak eenzaam voel op kot",Belgique,city,Anvers,51.2605565,4.35819025
75,1052611282740944897,4481247201,2a8a74486cd0d519,2018-10-17 17:24:21+00:00,nl,No source,No mention,everyone,False,1,0,0,0,Waarom voel ik me zo slecht en eenzaam de laatste tijd????,Belgique,city,Anvers,51.2605565,4.35819025
77,1048259876521164800,284644798,beef10110d8ebbb8,2018-10-05 17:13:24+00:00,nl,No source,Koentatweets,everyone,False,0,0,0,1,@Koentatweets ... Eenzaam?,Belgique,city,Sint-Katelijne-Waver,51.0623327,4.5360727999999995
78,1066820694460309504,1061703922870566912,2a8a74486cd0d519,2018-11-25 22:27:28+00:00,nl,No source,No mention,everyone,False,4,0,0,0,"Wij zijn met drie. Nu vraag ik mij af. Zouden alle dingen die met drie zijn zich eenzaam en onnodig voelen? 

Ik denk van wel. https://t.co/5DuCs4HWQX",Belgique,city,Anvers,51.2605565,4.35819025
80,1061590897454911488,3317011955,2a8a74486cd0d519,2018-11-11 12:06:08+00:00,nl,No source,No mention,everyone,False,1,0,0,0,"@lieveadk IM HAPPY FOR U 
ma sommige mense zijn nog steeds eenzaam ok....",Belgique,city,Anvers,51.2605565,4.35819025
81,1060294161201577984,485913072,fc1fd0b275839b91,2018-11-07 22:13:22+00:00,nl,No source,No mention,everyone,False,1,0,0,0,"Als ik 's avonds alleen in bed lig, voel ik mij echt zó eenzaam.",Belgique,city,Westerlo,51.1058565,4.88067955
84,1078213629642719232,458332526,cc3625d1c7796fb0,2018-12-27 08:58:56+00:00,nl,No source,No mention,everyone,False,0,0,0,1,Ze had me al laten ontvallen dat ze zich vaker eenzaam voelt omdat in haar omgeving iedereen een relatie heeft en zij nog niet. Breekt m’n hart want ik herken het gevoel maar al te goed.,Belgique,city,Schoten,51.2700051,4.5041295
85,1078213053412532224,458332526,cc3625d1c7796fb0,2018-12-27 08:56:38+00:00,nl,No source,No mention,everyone,False,0,0,0,1,"Geïnspireerd door de oproepen om mensen uit te nodigen die nog geen plannen hebben met oudejaar, heb ik de nieuwe vriendschap uit 2018 uitgenodigd. Beiden te trots om toe te geven dat we die dag ook eenzaam gingen moeten doorbrengen.",Belgique,city,Schoten,51.2700051,4.5041295
89,1072245425095303169,169651939,2a8a74486cd0d519,2018-12-10 21:43:25+00:00,nl,No source,No mention,everyone,False,1,0,0,0,"Op kot zitten is wel confronterend tho, ik voel me nog extra eenzaam nu",Belgique,city,Anvers,51.2605565,4.35819025
