,tweet_id,user_id,location_id,created_at,language,source,tweet_mentions,reply_settings,possibly_sensitive,like_count,retweet_count,quote_count,reply_count,text,country,place_type,location_geo,longitude,latitude
2,958452749632499714,240612470,52e0f89ce306d8eb,2018-01-30 21:31:57+00:00,nl,No source,destadsbader,everyone,False,0,0,0,0,Wat heb ik vandaag toch ne zware klote dag gehad😣maar als ik niels zie optreden maakt me da weer zo gelukkig &amp; dan nog een mia naar huis nemen maakt het hellemaal af proficiat lieverd geniet ervan ik ben zo trots op je 😍😍@Destadsbader #DeMias #TeamDestadsbader #ZoTrots #Topper,Belgique,city,Turnhout,51.32898145,4.93672415
9,958375531887714306,251071028,cf8a56969a385804,2018-01-30 16:25:07+00:00,nl,No source,"druyts_mitch,Noorderlijn",everyone,False,1,0,0,1,"@druyts_mitch @Noorderlijn Gelukkig niet, Mitch.",Belgique,city,Lier,51.1192098,4.5745699
11,958371054795350016,251071028,2a8a74486cd0d519,2018-01-30 16:07:19+00:00,nl,No source,No mention,everyone,False,8,2,0,1,De brand op het Operaplein was gelukkig erg beperkt. De brandweerinzet wordt afgebouwd. https://t.co/hMR3iDpmMa,Belgique,city,Anvers,51.2605565,4.35819025
17,958274059124424705,2589115947,2a8a74486cd0d519,2018-01-30 09:41:54+00:00,nl,No source,No mention,everyone,False,0,0,0,0,Gelukkig ist maar 1 examen https://t.co/PCj3I7V4CF,Belgique,city,Anvers,51.2605565,4.35819025
22,958077280584192001,2838024851,03c6dc32cfade603,2018-01-29 20:39:58+00:00,nl,No source,No mention,everyone,False,34,22,0,0,"Als iedereen mekaar geluk zou gunnen en minder egoïstisch in de wereld zou staan, zouden heel wat tranen bespaard blijven zijn weg te banen uit ieder -ooit gelukkig ervaren- lichaam",Belgique,city,Kalmthout,51.4031672,4.45964525
24,958049726104039424,718179182216392704,18816e8a2c82bdb1,2018-01-29 18:50:29+00:00,nl,No source,No mention,everyone,False,25,30,0,1,De laatste tijd ben ik echt gelukkig,Belgique,city,Bonheiden,51.0185107,4.568959700000001
26,957991163541237760,720173497356562432,f5ea6a3dfa0853c6,2018-01-29 14:57:46+00:00,nl,No source,bramcla,everyone,False,0,0,0,0,@bramcla Gelukkig schijnt de zon in belgie 24 op 24,Belgique,city,Zandhoven,51.211777049999995,4.682513950000001
38,957550204823236609,142672565,cc3625d1c7796fb0,2018-01-28 09:45:33+00:00,nl,No source,TGroep,everyone,False,2,0,0,0,Gelukkig blijft persoonlijk aspect belangrijk #humanvalue @tgroep https://t.co/AuTlxU6QV6,Belgique,city,Schoten,51.2700051,4.5041295
39,957531749613015042,778983308390703104,d4981b9e9f0695b5,2018-01-28 08:32:13+00:00,nl,No source,schmits_h,everyone,False,1,0,0,1,@schmits_h Deze witte zijn goedkoper dus kga ze toch maar even wisselen 😉 gelukkig op de bovenste laag,Belgique,city,Hoogstraten,51.440363500000004,4.7586089000000005
40,957520597512318982,128247502,6d6198a460e4073a,2018-01-28 07:47:54+00:00,nl,No source,RuudvdVelden010,everyone,False,0,0,0,0,"Gelukkig was er een bewonersavond... *Mompelt iets met zenden en ontvangen*
@RuudvdVelden010 #groen

https://t.co/LpZBk3RhgX",Belgique,city,Malines,51.0348807,4.45953225
