,tweet_id,user_id,location_id,created_at,language,source,tweet_mentions,reply_settings,possibly_sensitive,like_count,retweet_count,quote_count,reply_count,text,country,place_type,location_geo,longitude,latitude
0,958020985319559169,2776622874,2a8a74486cd0d519,2018-01-29 16:56:16+00:00,nl,No source,zjosdekker,everyone,False,0,0,0,1,@zjosdekker Een depressie is erg moeilijk uit te leggen. Zeker aan mensen die het nooit meemaakte. Het is zoals een kleurenblinde het verschil tussen  bepaalde kleuren uit te leggen. Maar men moet blijven proberen. Succes.,Belgique,city,Anvers,51.2605565,4.35819025
11,967887386872074240,3111528586,1a02773a6eda2ab1,2018-02-25 22:21:50+00:00,nl,No source,iiSmiley_MT,everyone,False,0,0,0,2,@iiSmiley_MT @snoeksdana @_Marijn_1 @NinaJearn Sad lifeeee #depressie door jesse help mij,Belgique,city,Oud-Turnhout,51.3199483,5.00983695
12,964559763613855744,3014386534,2a8a74486cd0d519,2018-02-16 17:59:02+00:00,nl,No source,sharonsinger7,everyone,False,0,0,0,0,@sharonsinger7 Voor mij geweest? Ik heb amper ooit iets meegegeven van mijn privéleven buiten mijn depressie om mijn gewicht. Gij komt met al u problemen over u fucking wa gij noemt liefdesleven terwijl het voor iedereen duidelijk is da hij u poept omda gij alles kocht voor hem,Belgique,city,Anvers,51.2605565,4.35819025
17,959136045655879683,222413171,1e35b5b987da70cf,2018-02-01 18:47:07+00:00,nl,No source,No mention,everyone,False,0,0,0,0,Kga in een depressie,Belgique,city,Zwijndrecht,51.223332049999996,4.3237290999999995
18,979707630712172544,26775078,2a8a74486cd0d519,2018-03-30 13:11:15+00:00,nl,No source,No mention,everyone,False,0,0,0,0,"@loub_fine Dit is legit de eerste keer dat ik die associatie hoor, maar ik ben mij ervan bewust dat ik in een overwegend agnostische/atheïstische bubble leef. So, question:wordt dat enkel/hoofdzakelijk opgebracht re: depressie? Wat met andere mental health issues?",Belgique,city,Anvers,51.2605565,4.35819025
19,979676143753285632,510681309,4c735a49b5ce2747,2018-03-30 11:06:08+00:00,nl,No source,No mention,everyone,False,9,2,0,2,The Weeknd heeft geluisterd naar zijn fans en heeft trg een depressie album gedropt,Belgique,city,Edegem,51.1587375,4.43044555
22,974738138080993280,114878943,326027bf66fff962,2018-03-16 20:04:16+00:00,nl,No source,No mention,everyone,False,1,0,0,0,Wat is burn-out en wat zijn de vijf voornaamste symptomen? https://t.co/shk3bTDl4o. Ik durf gerust zeggen dat deze onderzoekers nt weten waarover ze praten.mKan ook nt want ze baseren zich op vragenlijsten.Depressie en burnout kun je nooit verwarren kijk naar de neuro-humerale as,Belgique,city,Kasterlee,51.2408069,4.9468399000000005
23,971882988966379521,291809628,e9347d8254723781,2018-03-08 22:58:55+00:00,nl,No source,"inge_gls,nnabasis",everyone,False,0,0,0,0,"@inge_gls @nnabasis (Sorry, nu pas gelezen)
Lijkt mij nochtans duidelijk. Er is sterk verband tussen stijging # zelfmoord en toediening extra testosteron bij mannen. Alleen kwam dit niet als dusdanig uit dit onderzoek naar voren aangezien vermoeden van depressie niet uitgesloten kan worden.",Belgique,city,Geel,51.1658325,4.98608555
27,990376668081655808,963674950782668803,2a8a74486cd0d519,2018-04-28 23:46:12+00:00,nl,No source,"Maggie_DeBlock,raziraes,Koen_Geens1",everyone,False,0,0,0,0,@Maggie_DeBlock @raziraes Zoals Maggie stelde in de Zevende dag. De sector geestelijke gezondheidszorg binnen de geneeskunde is zelf ziek. Slachtoffers van misdrijven worden niet geloofd en platgespoten. Daarna volgt depressie en zelfmoord. Het OM heeft geen vat op overbeschermde geneesheren.@Koen_Geens1,Belgique,city,Anvers,51.2605565,4.35819025
35,987042026171617282,2873531735,fc1fd0b275839b91,2018-04-19 18:55:32+00:00,nl,No source,No mention,everyone,True,0,1,0,1,"Zit je momenteel vast in een burn-out of kamp je met een depressie? Dan is equitherapie echt iets voor jou! Informeer naar mijn gloednieuw traject van burn-out naar RE-BORN!martine@inbalancewithhorses.bGSM 0479/71 93 68 https://t.co/U1JBibKYWf
https://t.co/OUZWgEYGZy",Belgique,city,Westerlo,51.1058565,4.88067955
