,tweet_id,user_id,location_id,created_at,language,source,tweet_mentions,reply_settings,possibly_sensitive,like_count,retweet_count,quote_count,reply_count,text,country,place_type,location_geo,longitude,latitude
6,965251505195487237,777692402,f010202a266a8ad1,2018-02-18 15:47:47+00:00,nl,No source,No mention,everyone,False,0,0,0,0,Herpakt RSCA zich nog voor de play-offs en zal het nog 3 keer knallen? #rsca #jpl #hoopvol,Belgique,city,Wijnegem,51.228756700000005,4.5170591
8,978355054993436673,847047548850319360,2a8a74486cd0d519,2018-03-26 19:36:36+00:00,nl,No source,No mention,everyone,False,1,0,0,0,De keuze van de middelbare school is een levenskeuze. Je maakt ze goed. CD&amp;V Antwerpen is hoopvol maar kritisch. Elk kind verdient een schoolbank door verbetering computersysteem: ouders geven meer gewicht aan 1e keuze. Centraal aanmeldingssysteem in #Vlaanderen beste. #gemrA,Belgique,city,Anvers,51.2605565,4.35819025
11,976366195246075904,396673039,d4981b9e9f0695b5,2018-03-21 07:53:35+00:00,nl,No source,"___dimi____,G9LDEN,DonPierlo007,DekimpePeter,TeamG9LDEN,DiddeZizou,verschuerenmic1,CouckeMarc",everyone,False,0,0,0,0,@___DIMI____ @G9LDEN @DonPierlo007 @DekimpePeter @TeamG9LDEN @PatVercruysen @DiddeZizou @verschuerenmic1 @CouckeMarc Dit stemt me hoopvol,Belgique,city,Hoogstraten,51.440363500000004,4.7586089000000005
14,988114922402910209,140153262,2a8a74486cd0d519,2018-04-22 17:58:50+00:00,nl,No source,"tvanknopers,meervanpeer",everyone,False,2,0,0,1,"Het is een verhaal dat lijkt te worden geregeerd  door woorden als pijn en verdriet, eigenlijk is het een hoopvol verhaal @tvanknopers @meervanpeer #levensplicht",Belgique,city,Anvers,51.2605565,4.35819025
20,997409110600667136,778983308390703104,d4981b9e9f0695b5,2018-05-18 09:30:37+00:00,nl,No source,No mention,everyone,False,1,0,0,1,Net even gevraagd aan de chauffeur van de eierhandel of er veel eieren in opslag stonden en volgens hem was dat niet het geval ... alles ging goed weg dus dat kan betekenen dat de eierprijzen niet verder onderuit zullen gaan #hoopvol #vraagenaanbod of hoe zit dat juist ? 😏,Belgique,city,Hoogstraten,51.440363500000004,4.7586089000000005
21,996718550562824192,365931144,2a8a74486cd0d519,2018-05-16 11:46:35+00:00,nl,No source,anwaribrahim,everyone,False,4,2,0,0,"Hoopvol begin #Ramadan in #Maleisië. Overwinning oppositie en vrijlating @anwaribrahim wettigt hoop op democratischer en pluralistischer bewind (dat eerder christenen verbood de naam Allah te gebruiken om God te aanroepen, nochtans het gewone woord voor moslims én christenen) https://t.co/F6R5LVZdK6",Belgique,city,Anvers,51.2605565,4.35819025
22,993547424630300673,3123366100,8a365853e0cda9b4,2018-05-07 17:45:39+00:00,nl,No source,"JaakVerschore,AmadeoVH,de_NVA",everyone,False,0,1,0,0,@JaakVerschore @AmadeoVH @de_NVA @sp_a Als partijsoldaat ga ik morgen niet iets op twitter verdedigen wat mijn partij gisteren niet wilde stemmen.  Ik vind het triest dat zelfs de komende politieke generatie zich ontpopt tot wat slaafse volgelingen v d moederpartij.  Dat is weinig hoopvol,Belgique,city,Aartselaar,51.13038055,4.381335549999999
32,1018125437279629312,516513664,4ebac2919f76e6d2,2018-07-14 13:29:54+00:00,nl,No source,CouckeMarc,everyone,False,0,0,0,0,@CouckeMarc Dit is allemaal hoopvol en nu nog enkele gerichten transfers doen voor ervaring nog bij goe bezig Marc,Belgique,city,Hal,50.733853100000005,4.24206685
36,1034401966363955200,433357226,cc3625d1c7796fb0,2018-08-28 11:27:01+00:00,nl,No source,"HansRedMagic,Imid1904",everyone,False,1,0,0,0,@HansRedMagic @Imid1904 Hoopvol seizoen toen in het begin. Met JF Hasselbaink,Belgique,city,Schoten,51.2700051,4.5041295
37,1034328795388538880,27088495,2a8a74486cd0d519,2018-08-28 06:36:16+00:00,nl,No source,HendrickxSimon,everyone,False,0,0,0,1,"@hendrickxsimon EN DE G?! (Nee, maar, blij dat je zo hoopvol bent wat Amy’s carrière betreft. Honestly: same.)",Belgique,city,Anvers,51.2605565,4.35819025
