,tweet_id,user_id,location_id,created_at,language,source,tweet_mentions,reply_settings,possibly_sensitive,like_count,retweet_count,quote_count,reply_count,text,country,place_type,location_geo,longitude,latitude
3,957354433091948546,1719636517,fdcd591ad1a5ebdf,2018-01-27 20:47:38+00:00,nl,No source,No mention,everyone,False,4,0,0,2,"4 de in het open klassement, zeeeer tevreden 🤸🏼‍♀️ (@ Nele's place in Essen) https://t.co/P4gRcgh2HJ",Belgique,city,Essen,51.44882545,4.463723
4,957300751176478720,950068151898857473,d86135fcc7494913,2018-01-27 17:14:19+00:00,nl,No source,No mention,everyone,False,0,0,0,0,"Maandag worden deze producten geleverd naar tevreden klanten van lr 
Vraag gerust een cataloog aan en promotie folder info fb https://t.co/kzgv1TtW3y",Belgique,city,Vorselaar,51.21709475,4.7804085999999995
7,956653715133526016,339629698,ad0818e2fb208dde,2018-01-25 22:23:14+00:00,nl,No source,"SaidBataray,BeninCitizen",everyone,False,0,0,0,1,"@SaidBataray @BeninCitizen Prachtig lijstje, ben wel op zoek naar het verhaal waar iedereen tevreden is, moet nog uitgevonden worden zeker...",Belgique,city,Brasschaat,51.3100078,4.49961725
12,955119398725005313,720173497356562432,ccb4c89bf2d30a00,2018-01-21 16:46:24+00:00,nl,No source,BenWeyts,everyone,False,1,0,0,0,@BenWeyts Na de receptie ga je de putten in de vlaamse wegen toch laten dichtmaken?... feesten gaat je blijkbaar goed af precies? Maar van je wegenwerk ben ik niet zo tevreden!,Belgique,city,Stabroek,51.326901199999995,4.37154785
14,954771944158695425,1972648615,2a8a74486cd0d519,2018-01-20 17:45:44+00:00,nl,No source,spinocle,everyone,False,0,0,0,1,"@spinocle Zeer tevreden geweest van https://t.co/1wv58GBZEE (met 4 kinderen). Pony, ezels, schapen en kippen aanwezig 😄 en zeer vriendelijke eigenaars.",Belgique,city,Anvers,51.2605565,4.35819025
25,952629057795035137,94758103,2a8a74486cd0d519,2018-01-14 19:50:41+00:00,nl,No source,No mention,everyone,False,70,1,0,2,De huilende kassierster is trouwens dezelfde actrice als het takeldepot bij Laura. Zo tevreden waren we daarvan. #SorryVoorAlles,Belgique,city,Anvers,51.2605565,4.35819025
26,952205887770451969,1553707728,2a8a74486cd0d519,2018-01-13 15:49:09+00:00,nl,No source,notyoneighbour,everyone,False,1,0,0,1,"@notyoneighbour Hhaha, zit dan op boothcamp so that's gettin' drunk in the studio😂 me flesje Henny en ik ben tevreden✌🏾",Belgique,city,Anvers,51.2605565,4.35819025
28,951888874153955329,845191414682071041,52e0f89ce306d8eb,2018-01-12 18:49:27+00:00,nl,No source,"louis_ide,DirkGerard,vrtnws,radio1be",everyone,False,0,0,0,0,"@louis_ide @DirkGerard @vrtnws @radio1be Louis werd na het zeggen dat de klacht van "" SAMEN-RAAPSEL"" verworpen was , OOK toegevoegd op VRT-nieuws van 19.00 u dat zij TEVREDEN waren over het feit dat i/d toekomst best e register zou bijgehouden worden,gaande over deelnames a uitnodigingen door bvb.bouwpromotoren enz.👈✌",Belgique,city,Turnhout,51.32898145,4.93672415
30,951698618175680512,2475984062,6d6198a460e4073a,2018-01-12 06:13:26+00:00,nl,No source,KenVdB,everyone,False,0,0,0,0,@KenVdB Ik heb mij recent een J5 dual Sim gekocht. Tot nu toe heel tevreden over... in nov was die nog 249 maar nu blijkbaar maar 199 meer...,Belgique,city,Malines,51.0348807,4.45953225
32,949989353236914176,449709538,8a365853e0cda9b4,2018-01-07 13:01:26+00:00,nl,No source,sporza_koers,everyone,False,3,0,0,0,"Tevreden, rustig terug opbouwen. Toch een kleine 400 km deze week nu tijd voor koers! #Leuven #SoudalClassics @SoudalClassics @sporza_koers",Belgique,city,Aartselaar,51.13038055,4.381335549999999
34,949761371134222337,339629698,ad0818e2fb208dde,2018-01-06 21:55:31+00:00,nl,No source,LudwigBollaerts,everyone,False,1,0,0,0,"@LudwigBollaerts Houd het wel bij de samenvatting, Ivo is tevreden 😖 😉",Belgique,city,Brasschaat,51.3100078,4.49961725
36,948941349142827010,818287686,0a25d830ec1e8339,2018-01-04 15:37:02+00:00,nl,No source,No mention,everyone,False,4,0,0,0,Tevreden met weigering verkavelingsaanvraag in Den Aard door de gemeente Schilde. We blijven waakzaam met Open Vld en volgen verder op.,Belgique,city,Schilde,51.257782250000005,4.58132635
44,968128887518572544,2394221167,2a8a74486cd0d519,2018-02-26 14:21:28+00:00,nl,No source,eerlijkesos,everyone,False,2,0,0,0,@eerlijkesos Phara zal er zeer tevreden mee zijn!,Belgique,city,Anvers,51.2605565,4.35819025
45,968089572558110720,19288006,f010202a266a8ad1,2018-02-26 11:45:14+00:00,nl,No source,wannesss,everyone,False,0,0,0,0,@wannesss Idd zeker wel. Tevreden van basecone?,Belgique,city,Wijnegem,51.228756700000005,4.5170591
48,967727042371510272,2277643417,2a8a74486cd0d519,2018-02-25 11:44:41+00:00,nl,No source,marcomout,everyone,False,1,0,0,1,"@marcomout Als je meer dan 0,3% biedt, ben ik tevreden 😉",Belgique,city,Anvers,51.2605565,4.35819025
50,967468040236556288,4129773807,b74eed26736eb241,2018-02-24 18:35:30+00:00,nl,No source,No mention,everyone,False,7,1,0,0,"Ik probeer alleen maar goed te doen, maar mensen tevreden houden is moeilijk 🙃",Belgique,city,Putte,51.05168095,4.62647215
52,967423532463509504,778983308390703104,d4981b9e9f0695b5,2018-02-24 15:38:38+00:00,nl,No source,DickSchieven,everyone,False,0,0,0,1,@DickSchieven Oh jawel hoor 👍 zijn legkippen he ... en belangrijker is dat er geen koude lucht valt op de hennen ... met 17 graden ben ik meer dan tevreden 👍,Belgique,city,Hoogstraten,51.440363500000004,4.7586089000000005
53,967339738205171712,141655462,beef10110d8ebbb8,2018-02-24 10:05:40+00:00,nl,No source,WouterVanBesien,everyone,False,1,1,0,0,@WouterVanBesien Ben toch tevreden met dit zelfcorrigerend beleid want ... aan de horizon doemt er nog geen enkel valabel en betrouwbaar alternatief op. Alleen de grote leegte.,Belgique,city,Sint-Katelijne-Waver,51.0623327,4.5360727999999995
58,966250637100044290,1112380412,2a8a74486cd0d519,2018-02-21 09:57:58+00:00,nl,No source,"Scarlet,Telenet",everyone,False,0,0,0,0,Aan de gebruikers van @Scarlet .. Zijn jullie tevreden? Mijn rekeningen van @Telenet zijn zo duur de laatste tijd.. 😔 Hoe zit dat met 4G? Snelheid? Opnames op tv? SHOOT! Benieuwd! #DTV,Belgique,city,Anvers,51.2605565,4.35819025
60,966024676530106368,4347061,6d6198a460e4073a,2018-02-20 19:00:05+00:00,nl,No source,"KAnthonissen,johncrombez",everyone,False,11,2,0,1,"@KAnthonissen @pinguinpatje @johncrombez @mxbiker85 Bedankt! Eigenlijk zelfs iets meer gezien ze nu ook RV moeten betalen op de interesten uit de lening aan Belfius. Ik ben tevreden, al had het meer kunnen zijn zonder die deal ;-)",Belgique,city,Malines,51.0348807,4.45953225
61,965669094837182465,2228604475,2a8a74486cd0d519,2018-02-19 19:27:08+00:00,nl,No source,"randrafels,AstridStockman",everyone,False,1,0,0,0,"@randrafels @Astridstockman Danku, zelf ook best tevreden van, gedrukt is die echt goed :D",Belgique,city,Anvers,51.2605565,4.35819025
