,tweet_id,user_id,location_id,created_at,language,source,tweet_mentions,reply_settings,possibly_sensitive,like_count,retweet_count,quote_count,reply_count,text,country,place_type,location_geo,longitude,latitude
6,979761193291304964,65433914,2a8a74486cd0d519,2018-03-30 16:44:06+00:00,nl,No source,No mention,everyone,False,0,0,0,0,Als frustratie en wanhoop energie genereerden had Antwerpen stroom voor een maand #verkeersinfarct,Belgique,city,Anvers,51.2605565,4.35819025
8,979024301230821377,951844771,2a8a74486cd0d519,2018-03-28 15:55:57+00:00,nl,No source,No mention,everyone,False,1,1,0,0,Hoop na wanhoop bij Oranje. Lees https://t.co/xHpX97cbuB,Belgique,city,Anvers,51.2605565,4.35819025
10,972226962239447041,2394221167,2a8a74486cd0d519,2018-03-09 21:45:45+00:00,nl,No source,"kristofcalvo,Ecolo,groen",everyone,False,13,2,0,1,"@kristofcalvo @Ecolo @groen Wat gebruikt gij??? Waar is trouwens die groei, Almaci wordt zelfs hysterisch van wanhoop, ge had ze op de radio eens moeten horen! #flippendegroenen https://t.co/cJAq1rYc2j",Belgique,city,Anvers,51.2605565,4.35819025
18,1000083187413016576,3235683166,d64c381d415f7367,2018-05-25 18:36:27+00:00,nl,No source,"deafspraaktv,KoenGeens",everyone,False,0,0,0,0,"@deafspraaktv ,ik had graag eens een goede definitie over ‘populisme’ en ‘wanhoop’.Mr @KoenGeens wil er niet over spreken!Moedig zeg.",Belgique,city,Sint-Amands,51.0549443,4.23109075
25,991748901807054855,140153262,2a8a74486cd0d519,2018-05-02 18:38:58+00:00,nl,No source,"wardmarkey,ong_wanhoop,buelens_jan",everyone,False,0,0,0,0,@wardmarkey @ong_wanhoop @buelens_jan Men moest en zou een overwinningske over 1 mei tillen. De schade was al onoverzichtelijk.,Belgique,city,Anvers,51.2605565,4.35819025
26,991748208891236352,140153262,2a8a74486cd0d519,2018-05-02 18:36:13+00:00,nl,No source,"wardmarkey,ong_wanhoop,buelens_jan",everyone,False,1,0,0,0,"@wardmarkey @ong_wanhoop @buelens_jan Idd, en ook, alsof Kris P. daar ook maar iets aan zou gedaan hebben. Geloof ik niks van.",Belgique,city,Anvers,51.2605565,4.35819025
30,991747486111985669,140153262,2a8a74486cd0d519,2018-05-02 18:33:21+00:00,nl,No source,"ong_wanhoop,wardmarkey,buelens_jan",everyone,False,0,0,0,2,@ong_wanhoop @wardmarkey @buelens_jan Het minste van hun zorgen. Oorlogskas is groot genoeg.,Belgique,city,Anvers,51.2605565,4.35819025
32,1006274589540962304,4353715582,1378ba11bdd9d417,2018-06-11 20:38:52+00:00,nl,No source,"ong_wanhoop,MrtnDb,WouterVanBesien",everyone,False,0,0,0,0,@ong_wanhoop @mxbiker85 @MrtnDb @WouterVanBesien Omdat geen enkel lid van Groen het blijkbaar erg vind als er kerncentrales 20km van de grens staan die voor ons energie maken.,Belgique,city,Arendonk,51.34244975,5.08487705
33,1006236398859538434,4353715582,1378ba11bdd9d417,2018-06-11 18:07:07+00:00,nl,No source,"ong_wanhoop,MrtnDb,WouterVanBesien",everyone,False,0,0,0,1,@ong_wanhoop @mxbiker85 @MrtnDb @WouterVanBesien Maar import mag dus wel?!?,Belgique,city,Arendonk,51.34244975,5.08487705
34,1006088288036368385,4353715582,1378ba11bdd9d417,2018-06-11 08:18:34+00:00,nl,No source,"ong_wanhoop,MrtnDb,WouterVanBesien",everyone,False,0,0,0,1,"@ong_wanhoop @mxbiker85 @MrtnDb @WouterVanBesien Al berekeningen gezien van specialisten die zeggen dat als het tegen de vooropgestelde datum moet, er meer dan 2 keer het BBP nodig is. Is dat realistisch?",Belgique,city,Arendonk,51.34244975,5.08487705
35,1003305826365386753,365931144,2a8a74486cd0d519,2018-06-03 16:02:04+00:00,nl,No source,No mention,everyone,False,2,1,0,1,"Mensen wagen zich op zee door een bijzondere mix van wanhoop en hoop. Wie goed en veilig leeft, zoals meeste Europeanen, mag daar niet lichtvaardig over oordelen. In gelijkaardige omstandigheden, zouden zij wellicht zelfde keuzes maken.",Belgique,city,Anvers,51.2605565,4.35819025
46,1057219958009200640,230857049,6d6198a460e4073a,2018-10-30 10:37:34+00:00,nl,No source,Nieuwsuur,everyone,False,0,0,0,0,"@Nieuwsuur Emo-TV, van linkse intellectuelen die onze (superieure) welvaarts-cultuur kapot willen, dat gaat er weer in als zoete pap! ""Haal ze snel terug naar hier want anders gaan ze terug ginder uit wanhoop radicaliseren hé""! dixit LINKSE LAFAARDS!",Belgique,city,Malines,51.0348807,4.45953225
53,1060297597859061761,2161000783,2a8a74486cd0d519,2018-11-07 22:27:01+00:00,nl,No source,No mention,everyone,False,5,0,0,1,"ariana wou uit wanhoop voor de mop naar haar ex ""ik mis je"" sturen maar heeft effectief op versturen geklikt hahahaha",Belgique,city,Anvers,51.2605565,4.35819025
55,1073194600955809792,725968467023765504,50a87753238ec07f,2018-12-13 12:35:06+00:00,nl,No source,elhammouchiothm,everyone,False,0,0,0,0,@ElHammouchiOthm Wat maakt poëzie islamitisch? Bestaat er zo iets als islamitische schoonheid of liefde of wanhoop?,Belgique,city,Herentals,51.15946015,4.82910865
