1,Antwerpen,Limburg,Oost_Vlaanderen,West_Vlaanderen,Vlaams_Brabant,Brussel
2,Antwerpen,Wijchmaal,Middelburg,Zonnebeke,Waanrode,Sint-Joost-ten-Node
3,Berendrecht,Hasselt,Gent,Brugge,Halle,Brussel
4,Lillo,Sint-Lambrechts-Herk,Mariakerke,Koolkerke,Buizingen,Laken
5,Zandvliet,Wimmertingen,Drongen,Hertsberge,Lembeek,Schaarbeek
6,Burcht,Kermt,Wondelgem,Oostkamp,Herfelingen,Etterbeek
7,Zwijndrecht,Spalbeek,Sint-Amandsberg,Ruddervoorde,Herne,Elsene
8,Deurne,Kuringen,Oostakker,Waardamme,Sint-Pieters-Kapelle,Sint-Gillis
9,Wijnegem,Stokrooie,Desteldonk,Sint-Andries,Bever,Anderlecht
10,Borgerhout,Stevoort,Mendonk,Sint-Michiels,Hoeilaart,Sint-Jans-Molenbeek
11,Borsbeek,Zonhoven,Sint-Kruis-Winkel,Loppem,Galmaarden,Koekelberg
12,Wommelgem,Helchteren,Gentbrugge,Veldegem,Tollembeek,Sint-Agatha-Berchem
13,Merksem,Houthalen,Ledeberg,Zedelgem,Vollezele,Ganshoren
14,Ekeren,Berbroek,Afsnee,Aartrijke,Oudenaken,Jette
15,Herentals,Donk,Sint-Denijs-Westrem,Knokke,Sint-Laureins-Berchem,Neder-Over-Heembeek
16,Morkhoven,Herk-de-Stad,Zwijnaarde,Westkapelle,Sint-Pieters-Leeuw,Haren
17,Noorderwijk,Schulen,Zelzate,Heist-aan-Zee,Ruisbroek,Evere
18,Hallaar,Halen,Destelbergen,Ramskapelle,Vlezenbeek,Sint-Pieters-Woluwe
19,Heist-op-den-Berg,Loksbergen,Heusden,Assebroek,Drogenbos,Oudergem
20,Booischot,Zelem,Beervelde,Sint-Kruis,Linkebeek,Watermaal-Bosvoorde
21,Itegem,Heusden,Lochristi,Damme,Sint-Genesius-Rode,Ukkel
22,Wiekevorst,Heusden-Zolder,Zaffelare,Hoeke,Beersel,Vorst
23,Schriek,Zolder,Zeveneken,Lapscheure,Lot,Sint-Lambrechts-Woluwe
24,Herselt,Linkhout,Gontrode,Moerkerke,Alsemberg,BHG
25,Ramsel,Lummen,Melle,Oostkerke,Dworp,Brusselaar
26,Houtvenne,Meldert,Nieuwkerken-Waas,Sijsele,Huizingen,Bruxellois
27,Hulshout,Alken,Sint-Niklaas,Blankenberge,Bogaarden,Bruxelloise
28,Westmeerbeek,Beringen,Belsele,Uitkerke,Heikruis,Brussels
29,Massenhoven,Beverlo,Sinaai-Waas,Houtave,Pepingen,Bruxelles
30,Viersel,Koersel,Beveren-Waas,Meetkerke,Elingen,bxl
31,Zandhoven,Paal,Haasdonk,Nieuwmunster,Beert,Ixelles
32,Pulderbos,Diepenbeek,Kallo,Zuienkerke,Bellingen,Auderghem
33,Pulle,Genk,Melsele,Dudzele,Dilbeek,Schaerbeek
34,Olen,Gellik,Vrasene,Lissewege,Sint-Martens-Bodegem,Saint-Gilles
35,Oevel,Lanaken,Doel,Zeebrugge,Sint-Ulriks-Kapelle,Molenbeek-Saint-Jean
36,Tongerlo,Neerharen,Kallo,Oostende,Itterbeek,Saint-Josse-ten-Noode
37,Westerlo,Veldwezelt,Kieldrecht,Stene,Groot-Bijgaarden,Woluwe-Saint-Lambert
38,Zoerle-Parwijs,Rekem,Verrebroek,Zandvoorde,Schepdaal,Woluve-Saint-Pierre
39,Herenthout,Eisden,Elversele,DeHaan,Asse,Uccle
40,Gierle,Leut,Steendorp,Klemskerke,Bekkerzeel,Forest
41,Lille,Maasmechelen,Temse,Wenduine,Kobbegem,Watermael-Boitsfort
42,Poederlee,Mechelen-aan-de-Maas,Tielrode,Vlissegem,Mollem,
43,Wechelderzande,Meeswijk,Bazel,Middelkerke,Relegem,
44,Grobbendonk,Opgrimbie,Kruibeke,Wilskerke,Zellik,
45,Bouwel,Vucht,Rupelmonde,Leffinge,Ternat,
46,Vorselaar,Boorsem,Daknam,Mannekensvere,Wambeek,
47,Turnhout,Uikhoven,Eksaarde,Schore,Sint-Katherina-Lombeek,
48,Rijkevorsel,Kessenich,Lokeren,Sint-Pieters-Kapelle,Mazenzele,
49,Hoogstraten,Kinrooi,De Klinge,Slijpe,Opwijk,
